카테고리, 식당명, 별점, 리뷰수, 주메뉴, 주소, 영업시간, 브레이크타임, 휴무일, 식당사진
카페&디저트, 을의커피,4.4,94, 음료,서울 용산구 청파로47나길 13 1층,11:00–22:00, 없음, 없음, eul.png
카페&디저트, 청파맨션,4.2,78, 음료,서울 용산구 청파로47나길 20,08:30–22:00, 없음, 격주 토요일, chungpa.png
카페&디저트, 루다브레드,3.5,38, 베이커리,서울 용산구 청파로47길 89,09:00-22:00,없음,토요일,luda.png
카페&디저트, 타코비,3.0,21, 타코야끼,서울 용산구 청파로45길 39,12:00–21:00, 없음, 토요일, takobi.png
카페&디저트, 앙꼬,4.3,37, 음료,서울 용산구 청파로47다길 6 1층,10:00–20:00, 없음, 토요일/일요일, ang.png
카페&디저트, 와플하우스,3.6,52, 와플,서울 용산구 청파로45길 37,11:30–22:30, 없음, 없음, wa.png
아시안,포36거리,4.5,35, 쌀국수/돈까스,서울 용산구 청파로47길 77 2층,11:00–19:00, 없음, 토요일, po.png
아시안, 사이공마켓,4.3,49, 베트남 음식,서울 용산구 청파로47길 76 지하,11:00–20:30, 없음, 토요일/일요일, saigong.png
아시안, 포라임,4.2,82, 베트남 음식,서울 용산구 청파로47길 82,09:00–21:00, 없음, 없음, pholime.png
아시안, 신머이 쌀국수,3.5,41, 베트남 음식,서울 용산구 청파로45길 9 1층,10:00–22:00 (주말은 21:00 마감), 없음, 없음, xinmoi.png
아시안, 하이퐁가든,3.9,25, 베트남 음식,서울 용산구 한강대로 278-2 1 2층,11:00–01:00, 없음, 일요일, haipong.png
한식, 홍곱창,4.5,48, 곱창/막창,서울 용산구 청파로 43가길 31 1층,16:00–23:30 (주말은 15:00 오픈), 없음, 없음, hong.png
한식, 바론김밥,4.1,32, 김밥,서울 용산구 효창원로93길 2,08:00–19:00, 없음, 일요일, baron.png
한식, 종로김밥,3.9,74, 김밥,서울 용산구 청파로47길 79,10:00–20:00, 없음, 일요일, jong.png
한식, 버스컵떡볶이,3.6,25, 떡볶이,서울 용산구 청파로47다길 4 1층,11:30–23:00(주말은 12:00 오픈,22:30 마감), 없음, bus.png
한식, 까치네분식,4.3,46, 종합분식,서울 용산구 청파로45길 18 1층,11:00–21:00,15:00–16:00, 없음, kka.png
한식, 숙대소반,3.0,60, 쫄면순두부,서울 용산구 청파로43길 62 1층,10:30–20:50 (토요일은 20:00 마감), 없음, 일요일, sook.png